"lon","lat"
-74.8306961059999,-15.5679168699999
-74.8312530519999,-15.5679168699999
-74.8312530519999,-15.56763935
-74.83152771,-15.56763935
-74.83152771,-15.5679168699999
-74.8320846559999,-15.5679168699999
-74.8320846559999,-15.56763935
-74.832359314,-15.56763935
-74.832359314,-15.567083359
-74.833473206,-15.567083359
-74.833473206,-15.5673608769999
-74.8340301519999,-15.5673608769999
-74.8340301519999,-15.567083359
-74.8356933599999,-15.567083359
-74.8356933599999,-15.5665273659999
-74.8368072499999,-15.5665273659999
-74.8368072499999,-15.566248893
-74.8370819099999,-15.566248893
-74.8370819099999,-15.5665273659999
-74.837364196,-15.5665273659999
-74.837364196,-15.566248893
-74.8393020619999,-15.566248893
-74.8393020619999,-15.565973282
-74.839859008,-15.565973282
-74.839859008,-15.5656948089999
-74.8404159539999,-15.5656948089999
-74.8404159539999,-15.565973282
-74.8406906119999,-15.565973282
-74.8406982419999,-15.5656948089999
-74.842636108,-15.5656948089999
-74.842636108,-15.565417289
-74.842918396,-15.565417289
-74.842918396,-15.5656948089999
-74.844154359,-15.5656948089999
-74.8443069459999,-15.5656948089999
-74.8443069459999,-15.565973282
-74.844581604,-15.565973282
-74.844581604,-15.566248893
-74.8452148439999,-15.566248893
-74.845413208,-15.566248893
-74.845413208,-15.56634903
-74.845413208,-15.567083359
-74.8456649779999,-15.567083359
-74.8459701539999,-15.567083359
-74.8459701539999,-15.5673608769999
-74.8465270999999,-15.5673608769999
-74.8465270999999,-15.568470954
-74.8468017579999,-15.568470954
-74.8468093859999,-15.5690269469999
-74.8470840459999,-15.5690269469999
-74.8470840459999,-15.5687494269999
-74.847358704,-15.5687494269999
-74.847358704,-15.5695829389999
-74.8474578859999,-15.5695829389999
-74.8476409899999,-15.5695810309999
-74.8476409899999,-15.570137024
-74.8479156499999,-15.570137024
-74.8479156499999,-15.5704145429999
-74.847717286,-15.5704145429999
-74.847358704,-15.5704145429999
-74.847358704,-15.5726375569999
-74.8476409899999,-15.5726375569999
-74.8476409899999,-15.5729179379999
-74.8490295399999,-15.5729160299999
-74.8490295399999,-15.5731935499998
-74.8495864859999,-15.5731935499998
-74.8495864859999,-15.5734720229999
-74.849861144,-15.5734720229999
-74.849861144,-15.573749542
-74.8501358039998,-15.573749542
-74.8501358039998,-15.574028015
-74.8504180899999,-15.574028015
-74.8504180899999,-15.5743055349999
-74.850975036,-15.5743055349999
-74.850975036,-15.5745840079999
-74.8526382439999,-15.5745840079999
-74.8526382439999,-15.5743055349999
-74.8529129019999,-15.5743055349999
-74.8529129019999,-15.5745840079999
-74.853752136,-15.5745820999999
-74.853752136,-15.5748615259999
-74.85458374,-15.5748615259999
-74.85458374,-15.5745820999999
-74.8548583979999,-15.5745840079999
-74.8548583979999,-15.5743055349999
-74.8551406859999,-15.5743055349999
-74.8551406859999,-15.573749542
-74.8554153439999,-15.573749542
-74.8554153439999,-15.570693016
-74.8556976319999,-15.570693016
