"lon","lat"
-77.0650037579952,-14.7531924636446
-79.8863679432008,-13.4263041780522
-81.8276402659692,-8.47323280129149
-76.0051801842096,-17.1784579860877
-81.0516820607505,-9.11530143144429
-82.1730583185717,-8.28362920651558
-74.9457469822654,-16.6727588122698
-74.126049582445,-18.6531206246496
-74.2124675472485,-19.5391389722502
-80.117223911491,-8.530036580537
-73.1377205392493,-19.025765914652
-80.2528930751552,-10.520066085257
-82.1513946312476,-8.40461524607448
-81.3127429023929,-8.0197348444081
-78.5864357326643,-17.6791028194468
-80.0638757909568,-14.5434037918575
-78.9851186134707,-14.4771425950719
-74.2470947365922,-19.3063615160995
-79.9892951478925,-13.1980396730756
-74.7765240358061,-19.4372081425148
-82.3051996308526,-8.76211627378374
-75.8191872337824,-18.3805543494036
-75.8690745928673,-17.5519484997822
-75.1435466266181,-18.5541924120816
-80.898200824888,-14.0400703347619
-81.9038391530103,-11.2342448040393
-82.7293531115642,-8.62567519158939
-81.2102694278743,-9.04272024304995
-75.9225462768148,-19.2227494291511
-80.5931489472551,-8.28363173306257
-81.7729841189684,-8.97718526900769
-82.4317095565258,-6.1845573372043
-74.6189193678599,-19.0591187308673
-80.7138954936643,-11.8544543660164
-83.0973330719759,-4.04735643223699
-79.5305713958405,-13.5222587292597
-75.65811829179,-16.8801391516171
-77.5036936276407,-14.3326295769091
-79.5944370778686,-12.8663801426911
-76.510352975987,-18.7562051275754
-81.6204386102665,-5.80814818090786
-77.3128091156127,-16.8851380843571
-76.9718301812539,-18.3051796784345
-78.3680299877381,-15.6727921901526
-76.6235647930178,-17.6486154116663
-82.4554978871957,-7.47036610515615
-82.8923179801068,-10.5950734227677
-76.6662412603585,-17.2998233094447
-79.7264219409999,-16.7414528848341
-78.9812014457446,-12.7893778288397
