"fecha","lon","lat"
2015-05-01,-75.1549128951791,-17.9695813631375
2015-05-01,-73.7487396501208,-17.5518323693723
2015-05-01,-76.8569480074775,-16.6472234662271
2015-05-01,-75.5762460130278,-19.6996043533122
2015-05-01,-76.5485051665577,-15.1655644267235
2015-05-02,-79.8643453885285,-14.639439535222
2015-05-02,-80.2999065626466,-12.7742790768504
2015-05-02,-77.0384577733164,-17.9496014330791
2015-05-02,-81.2504406705076,-8.86259249897772
2015-05-03,-79.5944370778686,-12.8663801426911
2015-05-03,-73.2659248741562,-18.8381501054706
2015-05-03,-77.5480746376488,-16.6428251587766
2015-05-04,-78.6008689580612,-13.2992530950362
2015-05-04,-78.4396858791055,-14.9045463990919
2015-05-04,-75.9046690749946,-18.3319261871574
2015-05-05,-73.7684800473054,-18.5382884313235
2015-05-05,-80.6735066678639,-10.1444612847236
2015-05-05,-81.6204670093271,-9.54428897547215
2015-05-05,-76.2855421146316,-19.0092684845028
2015-05-05,-79.2240666200632,-14.7921757506098
2015-05-06,-77.7415292716235,-14.7438796466676
2015-05-06,-79.0997121079957,-12.5988929234462
2015-05-07,-79.993397553439,-7.90852223837209
2015-05-07,-78.3838906480018,-14.764236329391
2015-05-07,-76.6788131576338,-16.18264789925
2015-05-07,-72.7965634000109,-18.5435963473393
2015-05-07,-75.2743779813406,-18.5119840925015
2015-05-07,-82.4273318932157,-10.3973542203498
2015-05-08,-82.6277845786513,-9.31729013847807
2015-05-08,-74.3764915819758,-18.6971383244317
2015-05-08,-74.179211310923,-17.6011451614537
2015-05-09,-79.5302796976502,-10.2991635744488
2015-05-09,-78.7852826778942,-12.6900032338243
2015-05-09,-79.8260535091538,-13.8383658417223
2015-05-09,-74.5206198236774,-19.2444453023932
2015-05-10,-76.2390758245447,-16.4054031789012
2015-05-10,-81.0376414185855,-11.7964642477354
2015-05-11,-75.0610875442015,-18.0943803978723
2015-05-11,-76.0535979056612,-17.8882073545658
2015-05-12,-78.7437187901464,-14.97793287053
2015-05-12,-78.9301717647868,-12.6501889242509
2015-05-12,-82.0150925815562,-6.99940272559389
2015-05-12,-78.1662605239236,-15.8930923440346
2015-05-12,-71.8677933614911,-19.3720469914678
2015-05-12,-79.814188113965,-8.47919266043728
2015-05-13,-81.0216873959936,-11.3165736782015
2015-05-13,-73.8887292682929,-17.7522765439081
2015-05-13,-79.3013085419129,-12.7222969708733
2015-05-13,-74.2001593973366,-16.7632316126717
2015-05-14,-78.9522090250094,-16.6760341721221
2015-05-14,-75.344527185218,-18.3135111751162
2015-05-15,-82.6507198649117,-5.54439252726377
2015-05-16,-74.4457617727369,-19.4168921472886
2015-05-16,-72.988811545634,-18.2120726283828
2015-05-16,-77.4896095066059,-17.6301495028804
2015-05-16,-73.6231299028269,-18.278297747269
2015-05-17,-73.922445434099,-19.5212905313065
2015-05-17,-82.7636825943174,-8.03245559546725
2015-05-17,-77.3019385954051,-18.5574156970734
2015-05-17,-77.7389842895138,-15.452897173847
2015-05-18,-75.1100303603502,-17.8493893661908
2015-05-18,-81.1039083748188,-9.9039169072167
2015-05-18,-80.2948876617406,-10.1092311610767
2015-05-18,-74.8232581220965,-16.9839878904503
2015-05-19,-82.4640794169158,-7.13612311283407
2015-05-19,-77.0648953501196,-15.5121637853549
2015-05-20,-80.9544812060247,-13.0186082743841
2015-05-20,-80.9603386465229,-10.7856713941487
2015-05-21,-77.5679409564872,-19.4522766828644
2015-05-21,-80.5073608667126,-14.964374350634
2015-05-21,-83.446167780262,-8.40662091372902
2015-05-21,-78.4767275181249,-13.1785073837248
2015-05-22,-80.0426126673303,-9.53074420052032
2015-05-22,-83.142796476482,-5.03015246719523
2015-05-23,-77.971638215244,-16.6731663731462
2015-05-23,-78.1332400596997,-17.5357385333938
2015-05-23,-75.4429349134906,-17.3798825570461
2015-05-23,-78.9199125499701,-12.9499341129538
2015-05-24,-74.0148461718039,-19.9083656464111
2015-05-24,-78.3576358319949,-18.0950286743262
2015-05-24,-78.8403108260127,-16.0334749435338
2015-05-24,-79.9163277176218,-13.2385324799436
2015-05-24,-75.5841545599823,-19.5821375980759
2015-05-24,-74.6330043280624,-19.7455514705883
2015-05-24,-82.9704600499102,-6.83450065928082
2015-05-24,-81.5106299744467,-4.91753157379659
2015-05-24,-73.8329849915109,-19.0786805112076
