"sst","anc","day","month","year"
20.5,372,18,3,2014
24.6,796,9,5,2014
24.5,115,6,1,2014
16.6,200,11,5,2014
17.9,791,28,4,2014
21.7,987,12,5,2014
24.8,760,24,6,2014
20.8,729,17,6,2014
25,500,2,6,2014
16.5,76,25,4,2014
17.6,71,16,6,2014
15.4,630,23,3,2014
24.7,889,24,1,2014
20.7,818,15,3,2014
18.1,183,1,5,2014
15.9,336,10,5,2014
17.4,242,17,4,2014
21.2,500,22,4,2014
20.6,112,8,1,2014
16.2,637,19,6,2014
21.8,645,15,5,2014
23.2,419,28,1,2014
16,451,11,4,2014
23.8,191,18,5,2014
16.8,50,20,4,2014
17.4,456,21,6,2014
22.6,374,30,6,2014
17.2,494,15,6,2014
23.1,887,16,2,2014
20.2,673,31,5,2014
19,873,16,1,2014
23.2,298,7,1,2014
19.8,953,7,6,2014
24.7,330,16,5,2014
21.2,162,3,3,2014
24,668,24,2,2014
19.4,666,19,4,2014
18.6,597,28,5,2014
24.2,335,22,1,2014
24.2,320,22,2,2014
19.8,828,1,1,2014
18.9,66,22,5,2014
16.3,961,27,3,2014
17.4,822,20,6,2014
21.1,169,4,6,2014
22.4,844,18,6,2014
15.6,198,17,2,2014
22.9,95,5,3,2014
21.6,659,16,3,2014
16.9,722,2,5,2014
17.2,100,18,2,2014
17.5,746,22,6,2014
23.3,344,7,5,2014
19.2,471,31,3,2014
16.7,904,17,1,2014
23.2,973,8,4,2014
18.3,204,29,3,2014
20.5,716,26,5,2014
24.1,404,18,1,2014
16.3,258,25,2,2014
21.3,247,20,2,2014
19,931,13,4,2014
18,621,19,3,2014
20.6,743,21,3,2014
22.8,623,3,4,2014
15.2,221,29,1,2014
24.3,951,16,4,2014
15.7,712,20,5,2014
16.1,998,14,1,2014
21.6,891,24,4,2014
15.2,158,20,3,2014
18.9,911,8,3,2014
17.7,28,3,2,2014
16.9,688,19,2,2014
17.9,710,10,1,2014
22.1,282,3,5,2014
21.1,339,25,5,2014
15.4,825,5,1,2014
19.5,611,19,5,2014
22.1,330,9,4,2014
17.9,357,10,4,2014
24.8,33,13,1,2014
22.3,658,9,1,2014
18.3,670,10,3,2014
16.8,350,10,6,2014
16.8,360,4,2,2014
20.2,579,24,3,2014
17.8,287,17,5,2014
19.3,615,28,2,2014
17,316,14,3,2014
21.9,748,14,2,2014
20.2,315,1,3,2014
23.6,823,21,4,2014
17.6,653,12,3,2014
20.6,386,15,2,2014
16.1,116,6,2,2014
23.2,433,21,1,2014
19.5,174,28,6,2014
16,660,13,6,2014
18.5,40,13,3,2014
