"sst","anc","day","month","year"
23.2,927,5,3,2006
19.3,994,15,5,2006
17.9,268,29,4,2006
18.4,468,14,4,2006
20,468,24,3,2006
21.9,336,12,3,2006
24.7,65,4,1,2006
17.1,865,20,6,2006
20.4,895,13,5,2006
20.6,442,17,5,2006
24.8,921,22,3,2006
17.4,680,16,5,2006
19.1,988,29,1,2006
15.2,932,17,1,2006
17.5,318,28,1,2006
15.4,700,3,4,2006
15.1,6,6,2,2006
16.1,519,10,6,2006
21.2,22,15,1,2006
19.1,122,5,4,2006
24.2,687,28,2,2006
24.2,159,8,6,2006
19.4,35,18,3,2006
22.8,364,6,3,2006
20.1,763,13,1,2006
23,980,7,1,2006
18.9,400,2,5,2006
19.1,477,10,3,2006
22.9,135,3,1,2006
18.2,859,20,3,2006
17.6,728,19,1,2006
24.5,874,16,6,2006
22.5,462,25,5,2006
15.5,133,14,5,2006
17.5,87,27,4,2006
15.5,434,26,1,2006
23.6,900,30,4,2006
16.9,535,12,6,2006
15.5,28,2,3,2006
24.9,548,23,2,2006
15.4,845,3,2,2006
19.1,824,28,5,2006
15.7,629,18,6,2006
20.3,372,28,6,2006
21.4,646,12,1,2006
17,22,6,4,2006
22.2,511,2,6,2006
22,872,14,2,2006
21.4,122,10,5,2006
15.7,778,17,4,2006
21.2,863,16,1,2006
16.4,836,1,3,2006
21.6,202,11,1,2006
18.2,335,31,5,2006
17.1,907,20,4,2006
21.5,402,29,5,2006
24.9,73,18,2,2006
17.1,587,21,4,2006
17.1,838,11,3,2006
24,275,21,1,2006
19.6,680,5,6,2006
17.7,569,24,2,2006
17.8,643,7,5,2006
18.4,906,15,4,2006
17.4,866,20,1,2006
24,530,22,1,2006
19.3,470,11,6,2006
16.6,300,25,3,2006
15.4,183,17,6,2006
19.5,458,21,2,2006
19.6,486,26,3,2006
20.5,806,8,5,2006
22.9,547,19,5,2006
22.4,187,9,6,2006
24.4,927,13,3,2006
22,782,1,4,2006
15.7,778,26,4,2006
24.4,152,19,3,2006
15.4,611,27,6,2006
21.8,669,8,4,2006
21.3,662,31,3,2006
24,603,14,1,2006
21.1,431,7,3,2006
15.3,356,2,1,2006
17.6,45,21,6,2006
15.9,522,9,3,2006
21.8,404,5,2,2006
18.8,67,25,1,2006
18.9,128,3,5,2006
19.6,16,9,4,2006
17.8,953,30,3,2006
21.3,902,30,6,2006
21.3,895,16,2,2006
23.8,243,19,6,2006
16.2,110,29,6,2006
17.7,172,13,2,2006
16.2,499,26,6,2006
17.3,868,27,2,2006
15.4,984,9,5,2006
16.7,619,22,5,2006
