"sst","anc","day","month","year"
20.8,836,29,4,2004
18.8,14,5,6,2004
15.4,15,2,4,2004
17.5,991,9,6,2004
16.8,424,4,2,2004
18.1,634,4,4,2004
17.8,57,6,5,2004
17.2,439,24,2,2004
16.6,418,6,3,2004
15.8,496,10,3,2004
20.7,643,20,1,2004
21.1,177,25,5,2004
15.1,52,6,2,2004
20.9,360,3,2,2004
16.7,98,28,2,2004
17.4,319,10,1,2004
20.9,740,15,6,2004
17.6,395,13,4,2004
24.8,256,2,5,2004
20.9,512,16,2,2004
18,591,13,6,2004
20.1,114,3,3,2004
23.2,9,29,6,2004
15,200,12,3,2004
23.3,946,17,5,2004
16.3,230,11,2,2004
19.5,100,27,1,2004
24.1,781,24,5,2004
19.8,785,15,1,2004
18.5,25,20,2,2004
20.5,804,29,1,2004
23.3,134,18,3,2004
24.5,632,24,4,2004
16.9,436,28,6,2004
15.4,640,8,3,2004
16.4,721,30,6,2004
18.3,319,27,2,2004
18.6,237,30,1,2004
23.5,65,25,3,2004
17.5,121,28,1,2004
21.6,401,14,3,2004
21.1,403,10,6,2004
18.7,995,11,1,2004
22,236,25,1,2004
23.5,911,5,1,2004
16.9,844,11,4,2004
18.2,718,20,4,2004
22.7,140,18,2,2004
21,952,8,4,2004
18.1,772,2,2,2004
18.8,183,16,6,2004
17.2,502,9,5,2004
24.2,325,20,6,2004
16.1,289,22,1,2004
24.9,34,24,6,2004
21.5,154,6,4,2004
16.2,786,13,1,2004
16.1,660,17,1,2004
20.1,811,19,2,2004
19.1,884,16,5,2004
19.2,650,28,4,2004
19,803,6,6,2004
23.5,295,25,6,2004
15,600,6,1,2004
22.9,715,7,3,2004
17,225,20,3,2004
15.6,167,14,5,2004
22.8,47,22,6,2004
22.3,45,1,6,2004
16.7,818,22,5,2004
21.6,517,21,3,2004
23.9,886,4,6,2004
24.3,39,7,2,2004
23.8,387,21,1,2004
20,47,26,5,2004
18.2,968,1,4,2004
16.1,520,17,2,2004
24.4,993,11,5,2004
17.7,726,7,1,2004
21.2,862,8,6,2004
22.7,250,27,3,2004
21.9,249,12,5,2004
24.4,201,29,5,2004
20.2,587,5,5,2004
17.2,452,23,5,2004
17.2,988,29,3,2004
15,462,11,3,2004
16.5,660,31,3,2004
17.6,827,15,2,2004
22.3,80,4,5,2004
23,587,7,6,2004
23.1,205,18,1,2004
20.9,541,3,6,2004
20.2,499,13,3,2004
18.3,801,19,4,2004
19,270,19,6,2004
24.2,190,4,1,2004
21.9,613,1,2,2004
16,585,19,1,2004
22,278,31,1,2004
