"sst","anc","day","month","year"
15.2,691,10,1,2015
16.3,923,21,2,2015
22.3,483,21,1,2015
21.3,920,22,3,2015
23.9,163,18,3,2015
23.9,272,14,3,2015
22.4,748,2,3,2015
21.1,646,7,5,2015
24.7,279,12,6,2015
21.2,881,27,4,2015
17.1,962,11,4,2015
23.1,920,24,2,2015
22.6,509,17,2,2015
22.6,622,14,4,2015
18.3,977,30,1,2015
20.7,708,12,4,2015
24.7,590,23,4,2015
19.8,523,19,4,2015
24.2,505,25,1,2015
22,624,30,5,2015
25,451,31,5,2015
20.7,995,10,5,2015
15.9,925,12,1,2015
19.8,39,21,6,2015
21.1,272,8,4,2015
18.1,112,22,5,2015
20.2,732,16,1,2015
23.5,26,1,5,2015
24.8,564,27,2,2015
20.3,173,13,2,2015
16.7,679,13,5,2015
18.5,496,20,2,2015
15.3,186,1,6,2015
20,419,10,6,2015
19.1,138,7,1,2015
17.7,258,13,4,2015
20.6,177,9,2,2015
19.6,249,29,4,2015
24.3,36,30,3,2015
20.1,101,13,1,2015
19.9,290,3,1,2015
19.1,118,19,5,2015
19.6,998,5,3,2015
16.1,344,4,1,2015
15.7,984,21,3,2015
18,254,17,6,2015
16.9,299,6,3,2015
19.1,331,3,6,2015
16.7,685,8,3,2015
15.5,141,24,3,2015
15.1,74,25,3,2015
15.7,784,22,6,2015
22.6,851,3,5,2015
20.7,36,12,3,2015
20.9,348,9,4,2015
23.2,210,5,4,2015
24.7,258,5,2,2015
20.7,448,4,3,2015
23,411,24,6,2015
19.6,749,1,4,2015
24.4,129,28,6,2015
17.1,798,22,2,2015
19.4,694,14,6,2015
18.7,643,24,5,2015
16,276,28,3,2015
18.1,125,22,4,2015
19.9,828,26,3,2015
20.7,439,18,5,2015
17.4,9,4,4,2015
18.7,30,13,3,2015
24.7,323,13,6,2015
24.4,371,14,5,2015
15.7,790,5,5,2015
22.5,45,2,4,2015
22.8,288,28,5,2015
21.4,392,1,3,2015
19.6,908,25,5,2015
20.8,16,2,1,2015
18.9,791,20,4,2015
15.4,852,11,2,2015
18,199,20,5,2015
17.9,805,25,2,2015
16.6,854,29,6,2015
20.9,621,4,2,2015
15.5,865,30,6,2015
22.5,981,31,3,2015
21.6,535,8,2,2015
24.7,2,18,6,2015
23.2,860,18,4,2015
22.2,866,11,1,2015
17.5,146,7,6,2015
18.8,248,6,2,2015
22,327,6,6,2015
22.6,355,18,1,2015
22.2,792,25,6,2015
21.7,855,26,6,2015
21.9,574,6,4,2015
22.9,328,4,5,2015
20.1,796,7,3,2015
22.3,961,24,1,2015
