"sst","anc","day","month","year"
20.4,511,5,4,2003
18.3,344,18,6,2003
19.7,450,25,6,2003
15.1,709,30,5,2003
19.9,816,24,1,2003
15.4,358,20,4,2003
24.5,66,4,6,2003
23.4,827,26,2,2003
22.8,456,9,1,2003
18.1,339,26,3,2003
23.5,345,22,6,2003
21.6,525,24,2,2003
17.5,455,11,5,2003
21.7,569,14,3,2003
24.4,861,19,4,2003
21,693,26,1,2003
19.1,283,31,1,2003
24.2,584,19,6,2003
17.9,547,12,4,2003
20.3,862,10,6,2003
21.5,194,16,5,2003
15.9,107,28,6,2003
24.6,76,23,3,2003
20.4,791,22,5,2003
18.5,288,19,2,2003
15.3,781,30,6,2003
19.9,364,18,5,2003
17.3,389,24,3,2003
17.9,35,13,3,2003
18.7,468,20,6,2003
20.4,478,5,5,2003
20.6,265,20,5,2003
17.2,87,3,5,2003
15.7,683,12,6,2003
15.3,889,10,3,2003
19.3,533,9,4,2003
22.4,694,17,3,2003
24,534,13,4,2003
23.5,95,11,4,2003
16.8,26,16,2,2003
24.4,123,8,6,2003
17.7,740,11,3,2003
17.1,217,25,5,2003
17.4,812,29,1,2003
18,565,2,5,2003
20.1,971,14,1,2003
20.4,83,2,3,2003
16,458,28,4,2003
22.9,203,3,3,2003
20.7,908,19,1,2003
18.2,715,9,3,2003
16,737,23,6,2003
17.9,308,11,6,2003
24.6,924,12,2,2003
18.7,810,28,2,2003
24.5,642,10,2,2003
18.5,601,17,6,2003
19.6,537,27,5,2003
15.3,796,6,5,2003
22,519,21,5,2003
22,198,6,6,2003
21.6,940,27,2,2003
22.7,517,7,5,2003
19.6,855,15,6,2003
18.4,663,8,4,2003
24.1,997,7,2,2003
16.9,105,7,6,2003
17.5,358,1,2,2003
23.1,624,20,2,2003
22.3,551,12,3,2003
19.9,436,18,1,2003
17.5,674,15,3,2003
16,222,27,1,2003
22.7,628,14,6,2003
20.5,980,23,1,2003
25,12,10,4,2003
19.2,301,24,5,2003
20.6,971,24,6,2003
16.2,479,9,6,2003
20.3,305,16,4,2003
16.5,129,17,2,2003
15.4,323,20,3,2003
24.2,408,30,3,2003
23.4,591,23,2,2003
17.6,200,19,3,2003
15.5,9,20,1,2003
18.9,681,22,3,2003
23.5,295,25,1,2003
21.2,689,27,4,2003
22.2,184,5,6,2003
19.3,601,29,5,2003
19.5,720,13,2,2003
23.2,298,3,4,2003
20.7,949,16,6,2003
18.2,906,23,5,2003
19.2,979,1,1,2003
16.4,943,29,4,2003
18.6,316,5,3,2003
23.5,693,21,6,2003
18.4,402,8,5,2003
