"sst","anc","day","month","year"
20.5,686,10,5,2011
20.6,961,8,5,2011
21,722,2,1,2011
22.5,621,18,4,2011
21.5,906,8,1,2011
22.4,595,19,2,2011
22.8,345,17,3,2011
16.2,317,18,3,2011
17.4,240,12,2,2011
18.8,913,2,5,2011
17,15,29,4,2011
19.8,167,11,2,2011
15.9,93,24,2,2011
22.8,989,11,1,2011
20.1,318,12,6,2011
22.3,885,9,2,2011
15.7,865,17,4,2011
17.6,798,25,6,2011
16.1,327,20,1,2011
21.6,233,22,2,2011
22,756,16,1,2011
15.1,681,28,2,2011
19.7,503,4,4,2011
20.9,79,1,5,2011
15.8,143,30,5,2011
22.1,522,8,3,2011
19.7,807,23,1,2011
20,6,14,1,2011
20.3,428,16,3,2011
18.9,181,19,5,2011
17.3,967,29,3,2011
20.7,286,13,5,2011
16.8,564,16,5,2011
15.8,162,23,5,2011
20.8,203,1,4,2011
21.7,507,26,5,2011
19.2,948,11,5,2011
18.6,550,3,6,2011
19.1,885,27,2,2011
23.4,555,9,5,2011
16.2,498,22,3,2011
20.4,217,1,6,2011
18,197,2,2,2011
15.3,479,24,6,2011
20.9,599,7,6,2011
21.3,336,21,4,2011
19,366,28,1,2011
15,717,15,2,2011
20.5,419,27,5,2011
20.4,236,23,2,2011
15.2,507,27,6,2011
21.1,158,12,1,2011
17.4,318,14,6,2011
24,54,28,5,2011
23.8,393,8,2,2011
19.2,393,2,3,2011
20.6,69,6,1,2011
16.1,303,14,4,2011
16.6,472,17,6,2011
23.2,995,1,3,2011
17.1,955,25,5,2011
18.1,881,4,2,2011
16.8,491,30,1,2011
15.1,985,28,6,2011
15.3,223,19,6,2011
16.7,376,18,1,2011
16.6,970,26,4,2011
17.5,418,9,4,2011
17,381,29,1,2011
19.1,913,24,3,2011
22.5,887,20,5,2011
15.7,425,5,1,2011
20.5,700,17,5,2011
17.7,541,20,2,2011
24.6,9,26,1,2011
18.2,678,23,6,2011
19.2,27,15,1,2011
18.1,431,9,6,2011
24.6,229,3,1,2011
17.6,490,10,2,2011
24.4,947,25,3,2011
24.8,949,23,3,2011
22.1,36,14,3,2011
16.9,310,14,2,2011
21.5,275,23,4,2011
18.3,663,26,6,2011
24.5,953,5,3,2011
22.5,770,14,5,2011
18.3,211,13,4,2011
15.6,885,3,5,2011
24.4,168,17,2,2011
17.1,966,15,5,2011
16.4,90,29,5,2011
17.5,895,13,1,2011
22.6,20,21,2,2011
20,809,3,2,2011
21.4,429,27,1,2011
16.5,112,28,3,2011
16.1,340,15,4,2011
17.5,704,12,4,2011
