"sst","anc","day","month","year"
16.6,676,15,1,2009
23.2,423,12,4,2009
22.7,152,20,3,2009
15.4,578,3,6,2009
25,420,19,3,2009
19.5,486,19,2,2009
22.1,263,18,1,2009
18.9,259,7,1,2009
19,203,20,2,2009
20.3,209,23,4,2009
24,701,24,3,2009
15.1,382,13,5,2009
19.3,531,8,1,2009
15.1,59,25,2,2009
24.2,979,13,4,2009
16.1,141,13,6,2009
19.4,659,11,2,2009
15.7,293,6,4,2009
16.3,489,6,6,2009
21.1,371,14,1,2009
20.7,532,25,1,2009
21.2,597,24,1,2009
23,431,10,6,2009
17.9,25,14,3,2009
15.4,450,14,5,2009
19.1,638,16,2,2009
21,741,3,4,2009
24,671,19,5,2009
15.5,700,2,5,2009
22,771,11,5,2009
15.5,751,18,4,2009
19.5,816,4,4,2009
22.7,92,28,6,2009
23.1,549,3,3,2009
15.5,918,15,2,2009
24.4,899,17,5,2009
17.1,174,1,4,2009
19.6,174,23,1,2009
19.4,118,30,1,2009
17.1,64,7,4,2009
20.4,115,5,3,2009
23.9,929,20,6,2009
24.6,558,17,4,2009
17.2,972,24,6,2009
22.4,219,22,3,2009
16,181,9,1,2009
18.4,899,15,6,2009
22.9,698,27,1,2009
22.6,613,8,2,2009
17.3,83,18,3,2009
15.9,626,7,6,2009
18.3,833,25,3,2009
22.5,458,2,2,2009
17.7,233,30,6,2009
16.4,673,31,3,2009
18.4,90,9,2,2009
17.8,185,20,5,2009
23.2,752,4,6,2009
22.7,508,13,1,2009
17.4,410,27,6,2009
15.9,510,6,5,2009
22.4,389,3,1,2009
21.1,3,5,1,2009
23.4,403,12,3,2009
15.8,213,29,4,2009
23.5,263,29,5,2009
23.9,269,2,3,2009
17.3,316,5,2,2009
22.1,67,22,4,2009
18.4,942,6,3,2009
19.5,240,20,1,2009
17.7,896,13,2,2009
16.4,869,22,6,2009
16.1,144,10,3,2009
17.9,339,29,1,2009
23.9,731,30,3,2009
20.4,856,7,5,2009
18.6,546,29,3,2009
16.7,253,15,5,2009
20.2,829,24,4,2009
23.2,9,11,3,2009
21.8,394,19,1,2009
17,378,30,4,2009
15.1,374,26,2,2009
15.7,524,10,5,2009
16.1,917,23,5,2009
20.1,316,5,4,2009
23.2,178,27,2,2009
20.8,489,21,4,2009
15.4,878,6,2,2009
18.4,123,25,5,2009
23.8,226,28,4,2009
18.2,548,9,3,2009
16.2,162,21,5,2009
18.9,141,11,1,2009
20.5,793,16,1,2009
22.5,977,20,4,2009
24.5,179,8,4,2009
15.6,192,5,5,2009
24.8,998,4,3,2009
