"sst","anc","day","month","year"
23.1,256,11,5,2010
22,194,18,1,2010
22.3,92,24,6,2010
23.6,423,8,2,2010
23.3,729,19,2,2010
24.1,922,30,3,2010
15.5,781,1,5,2010
22.6,861,7,2,2010
17.8,609,31,3,2010
17.8,533,18,2,2010
19.7,264,29,4,2010
19.1,588,28,2,2010
18.1,974,26,4,2010
24.2,743,28,5,2010
15.3,121,28,4,2010
17.3,114,10,2,2010
21.5,227,18,6,2010
18,146,10,4,2010
16.4,123,19,6,2010
23.6,398,1,1,2010
20.2,79,7,6,2010
20.2,64,20,3,2010
17,365,14,1,2010
21.4,905,13,5,2010
24.3,144,17,4,2010
20.5,43,27,5,2010
16.3,593,26,2,2010
24.6,100,27,6,2010
22.1,420,13,1,2010
23.4,938,23,2,2010
23.4,907,20,2,2010
19.9,861,10,6,2010
23.4,314,3,6,2010
19.7,690,17,1,2010
18.1,705,5,3,2010
22.8,446,19,3,2010
16.7,69,1,3,2010
21.9,1,12,5,2010
18.6,328,22,1,2010
16.9,50,9,5,2010
20.3,90,26,5,2010
22,532,8,1,2010
15.7,920,25,1,2010
22.6,491,21,2,2010
17.8,374,15,4,2010
23.5,557,4,5,2010
17.9,504,3,3,2010
21.4,913,24,5,2010
17.9,207,28,6,2010
19.9,458,14,5,2010
18.2,689,16,3,2010
22.3,324,14,6,2010
24.4,680,16,2,2010
23.3,677,10,1,2010
21.1,199,27,4,2010
23.7,268,15,2,2010
18.6,858,15,3,2010
23.8,746,24,3,2010
24.5,353,1,6,2010
20.7,460,2,1,2010
23.3,457,2,2,2010
16.5,517,9,1,2010
18.3,696,11,1,2010
24,112,4,6,2010
18.1,920,6,4,2010
20.9,205,24,4,2010
24.8,689,3,5,2010
21.3,887,22,5,2010
24.5,674,25,6,2010
20.9,67,29,6,2010
18,936,16,5,2010
21.2,783,3,1,2010
15.3,93,12,4,2010
15.9,153,27,2,2010
15.7,654,23,6,2010
20.2,331,5,1,2010
19.8,140,12,3,2010
21.8,323,29,5,2010
21.4,325,10,3,2010
22,647,5,6,2010
21.6,784,23,5,2010
22,66,1,2,2010
22.3,967,11,2,2010
19.4,570,13,3,2010
18.1,679,16,6,2010
24.6,497,25,3,2010
24.6,873,9,2,2010
18.5,776,15,1,2010
16.5,251,23,3,2010
24.8,733,26,3,2010
17.8,717,29,3,2010
16.5,59,4,4,2010
19,755,29,1,2010
18.5,521,30,5,2010
16.7,805,10,5,2010
23.3,813,21,5,2010
24.3,119,4,1,2010
21.1,401,14,4,2010
22.3,300,9,6,2010
20,315,14,2,2010
