"sst","anc","day","month","year"
23.5,468,28,1,2000
18,408,22,5,2000
21.5,805,15,6,2000
15.1,922,19,3,2000
21.4,956,21,2,2000
18.8,897,12,6,2000
23.9,82,28,3,2000
24.8,577,23,1,2000
23.8,149,8,4,2000
23.1,913,1,4,2000
19.7,766,29,1,2000
21.5,768,23,4,2000
21.5,578,4,4,2000
22.4,369,8,3,2000
20,153,23,6,2000
17.3,276,21,6,2000
19.8,715,16,4,2000
18.8,466,1,5,2000
19.1,119,12,4,2000
23.9,576,18,5,2000
22.4,401,21,1,2000
20.1,738,12,5,2000
18.3,630,20,5,2000
19.5,131,11,2,2000
16.6,972,13,4,2000
24.6,136,14,1,2000
19.7,335,17,3,2000
22.7,234,26,3,2000
16.7,196,26,2,2000
23.1,740,15,3,2000
15,597,4,3,2000
19.7,980,22,6,2000
22.5,877,24,2,2000
15.7,444,10,6,2000
19.1,889,3,6,2000
22,791,14,4,2000
20.9,785,13,6,2000
24.2,857,20,3,2000
16.4,1,25,5,2000
20,818,20,1,2000
15.3,395,19,6,2000
15.2,697,10,4,2000
20.4,378,3,4,2000
22.1,945,30,6,2000
22.4,845,22,2,2000
15.3,988,21,5,2000
22,464,5,1,2000
20.1,406,6,6,2000
19.7,660,21,3,2000
18,966,24,6,2000
18.6,89,19,2,2000
19.3,921,21,4,2000
16.5,94,3,1,2000
15.7,481,15,1,2000
19.7,69,26,6,2000
19,976,4,1,2000
16.5,566,31,1,2000
15.1,229,6,2,2000
20.2,606,20,4,2000
23.9,647,8,1,2000
15.4,923,28,5,2000
21.7,568,18,2,2000
16.3,89,28,6,2000
22.6,813,22,4,2000
20.8,258,25,1,2000
17.2,375,13,2,2000
20.9,356,5,6,2000
18.7,982,29,5,2000
22.1,261,29,4,2000
21.8,784,28,2,2000
18.7,840,29,2,2000
18.6,54,15,2,2000
24.9,826,10,5,2000
22.5,535,2,6,2000
23,264,16,6,2000
21.6,19,17,6,2000
17.3,376,3,2,2000
15.5,231,7,1,2000
19.9,260,28,4,2000
20.5,179,1,2,2000
17.4,474,26,4,2000
17.8,409,18,4,2000
19.1,973,11,3,2000
19.1,222,6,1,2000
24.1,280,2,2,2000
23.4,771,11,1,2000
17,595,4,2,2000
21.2,450,17,2,2000
24.6,302,31,5,2000
20.5,705,30,5,2000
15.6,325,19,1,2000
20.7,636,12,2,2000
21.3,572,24,5,2000
19.4,528,7,5,2000
24.7,480,17,5,2000
22.9,937,27,4,2000
17.4,159,16,2,2000
20.1,206,25,2,2000
17.8,902,24,3,2000
15.8,119,18,6,2000
