"sst","anc","day","month","year"
15.3,71,29,1,2013
20.1,991,18,1,2013
22.5,924,28,1,2013
18.4,425,12,4,2013
21.5,745,30,1,2013
18.7,902,14,4,2013
21.5,466,23,2,2013
22,846,24,5,2013
23.2,841,19,6,2013
18,858,22,6,2013
22.3,828,23,4,2013
18.7,396,25,4,2013
18,223,26,1,2013
24.1,43,12,3,2013
24.8,337,3,1,2013
24.6,890,13,1,2013
24.7,321,20,5,2013
20.8,416,18,5,2013
21.7,215,15,2,2013
22.9,575,22,4,2013
16,158,28,6,2013
23.5,533,31,1,2013
22.9,669,7,5,2013
15.5,509,28,5,2013
16.8,972,8,6,2013
17.9,981,13,3,2013
20.8,585,6,2,2013
23,637,29,6,2013
19.6,319,11,6,2013
22.6,540,14,5,2013
18.1,716,18,6,2013
15.1,718,5,6,2013
18,754,20,6,2013
19.7,493,8,5,2013
24.9,114,8,3,2013
21.2,359,15,1,2013
22.6,408,20,1,2013
22.3,806,6,1,2013
24.8,807,1,4,2013
22.4,628,2,3,2013
19.3,273,21,4,2013
22.5,722,28,3,2013
16.9,832,21,3,2013
17.3,135,22,5,2013
21.1,54,13,6,2013
21.6,218,15,5,2013
23.6,138,24,6,2013
15.4,585,4,1,2013
23.8,55,6,5,2013
17.3,615,22,2,2013
15.4,663,16,6,2013
24.5,32,30,5,2013
22.6,106,23,3,2013
19.5,897,19,3,2013
15.4,759,17,6,2013
21.9,97,7,4,2013
17.3,212,8,1,2013
22.9,202,22,3,2013
17.7,702,5,2,2013
19.1,998,25,1,2013
23.7,64,16,1,2013
17.8,916,27,6,2013
19.6,548,13,2,2013
23.1,102,10,4,2013
15.7,468,20,3,2013
15.8,722,14,6,2013
18,209,21,2,2013
16.2,768,25,2,2013
24,984,19,2,2013
16.2,198,25,5,2013
18.4,973,4,6,2013
15.1,737,1,5,2013
21.7,661,4,2,2013
22.8,548,18,3,2013
23.2,806,30,3,2013
22.9,584,28,4,2013
22.2,878,11,4,2013
24.4,273,2,1,2013
20.3,639,17,3,2013
15.7,314,9,3,2013
15.3,571,10,1,2013
19.1,877,12,6,2013
22.8,68,9,2,2013
17.5,719,16,4,2013
19.7,20,19,5,2013
19.7,584,3,2,2013
23.5,472,26,5,2013
24.3,752,16,2,2013
19.1,470,1,3,2013
23.8,768,10,2,2013
21.1,874,8,2,2013
17,891,5,1,2013
23.2,133,6,4,2013
16.5,742,4,5,2013
20.9,406,2,5,2013
23.4,110,17,1,2013
23.7,403,11,5,2013
23.2,959,31,3,2013
21.8,783,5,3,2013
18.5,856,24,3,2013
