"sst","anc","day","month","year"
23.6,301,9,6,2012
23.2,71,26,1,2012
23.5,989,13,1,2012
19.2,450,5,4,2012
16.7,767,15,1,2012
22.6,718,28,2,2012
21.6,692,29,4,2012
17.3,282,24,5,2012
17.4,210,17,5,2012
20.2,572,14,1,2012
23.9,595,11,4,2012
22.6,747,30,6,2012
21,413,16,6,2012
16.6,732,25,3,2012
22.6,924,19,6,2012
17.7,211,14,4,2012
19.3,391,5,5,2012
17.2,203,27,6,2012
19,216,25,1,2012
19.8,129,23,1,2012
20.2,847,29,3,2012
20.8,154,8,6,2012
15.3,13,19,4,2012
15.2,926,2,2,2012
23.4,435,29,6,2012
15.6,919,22,5,2012
18.8,799,19,2,2012
17.1,965,7,4,2012
16.4,449,29,1,2012
18.2,167,14,3,2012
16.9,757,4,4,2012
17.2,171,6,4,2012
21.9,174,7,6,2012
23.6,897,13,5,2012
18.1,66,23,2,2012
16.6,355,28,6,2012
17,529,18,2,2012
15.2,32,25,5,2012
15.4,766,23,6,2012
18.6,497,21,6,2012
19.1,268,7,5,2012
16.4,258,11,2,2012
20.6,284,18,4,2012
16.3,753,27,1,2012
19.8,871,19,5,2012
24.9,500,12,4,2012
23.7,502,20,1,2012
19.9,942,9,5,2012
15.2,545,11,6,2012
21.3,77,8,1,2012
21.7,913,25,2,2012
19.1,886,3,1,2012
16.7,400,20,6,2012
16.2,668,16,5,2012
19.6,451,15,6,2012
21.6,246,12,3,2012
21.3,510,21,3,2012
15.8,823,13,6,2012
18.8,246,2,5,2012
19.4,292,16,3,2012
17.8,159,1,6,2012
20.8,58,6,3,2012
19.9,763,24,6,2012
24.4,808,3,4,2012
16.5,58,8,4,2012
18.7,907,24,2,2012
16,507,28,5,2012
17.6,312,26,5,2012
23.9,636,3,5,2012
16.6,187,18,1,2012
18.2,106,15,4,2012
18.4,647,28,4,2012
18.9,757,17,2,2012
19.7,33,17,1,2012
24.2,162,20,4,2012
17.9,800,21,5,2012
20.1,159,5,6,2012
19.7,678,14,2,2012
21.1,313,15,2,2012
23.3,346,1,3,2012
19.3,784,22,1,2012
24.6,412,19,1,2012
20.2,663,5,2,2012
21.2,323,28,3,2012
19.1,806,25,4,2012
15.3,202,16,2,2012
22.4,426,9,1,2012
22.7,749,2,4,2012
16.4,277,8,2,2012
21.3,158,3,2,2012
24.3,490,12,1,2012
18.8,709,1,5,2012
17.1,335,12,5,2012
22.2,517,24,3,2012
24.1,918,18,3,2012
21.6,607,13,4,2012
17.3,669,31,3,2012
15.2,269,30,5,2012
16.8,689,21,1,2012
18.2,454,10,2,2012
