"sst","anc","day","month","year"
23,699,5,5,2007
22.4,583,2,6,2007
20.2,341,1,1,2007
15.8,865,14,3,2007
16.2,531,28,6,2007
17.3,293,10,1,2007
15,644,6,2,2007
18.8,465,29,3,2007
16.1,669,8,5,2007
21.8,154,28,3,2007
24.9,189,8,6,2007
15.7,501,10,2,2007
18.4,739,20,3,2007
16.8,257,4,4,2007
22.3,124,4,2,2007
16.7,123,23,6,2007
16.9,468,3,4,2007
18.5,45,31,1,2007
24.8,903,17,1,2007
17.6,809,11,5,2007
19.3,361,5,4,2007
23.7,68,23,5,2007
23.8,885,1,2,2007
24.3,465,4,5,2007
19.2,614,24,4,2007
23.8,636,16,2,2007
20.7,913,13,3,2007
23.9,977,13,4,2007
15.9,351,18,4,2007
23.9,533,25,4,2007
17.6,543,23,3,2007
15.6,501,2,3,2007
15.9,671,14,1,2007
24.7,977,3,2,2007
16.5,630,22,2,2007
24,897,28,2,2007
24.3,469,22,1,2007
18.1,517,7,3,2007
20.1,587,7,1,2007
22.9,226,5,3,2007
17.7,996,12,4,2007
19.7,49,26,1,2007
24.1,158,20,5,2007
17.4,316,14,4,2007
21,302,29,5,2007
24.1,933,25,3,2007
24.4,947,20,6,2007
20.6,13,3,6,2007
25,654,2,5,2007
20.9,29,1,6,2007
23.5,254,14,6,2007
23.8,663,10,6,2007
17.4,567,24,2,2007
17.5,962,29,1,2007
19.9,600,15,1,2007
21.5,533,18,5,2007
19,667,9,2,2007
23.1,260,18,1,2007
20,611,6,1,2007
24.8,334,9,6,2007
19.4,967,25,1,2007
19.2,242,1,4,2007
24.4,368,9,1,2007
16.8,946,12,5,2007
16.2,332,3,5,2007
20.1,554,11,4,2007
16,11,9,4,2007
20,346,1,5,2007
21.8,202,7,2,2007
16.1,83,27,2,2007
21.6,284,16,6,2007
20.9,787,11,2,2007
18.8,97,23,1,2007
23.2,962,4,3,2007
19.5,79,24,5,2007
20.5,158,18,2,2007
24.1,370,4,6,2007
18.7,452,31,5,2007
24,720,21,2,2007
21.1,423,22,3,2007
21,492,25,2,2007
16.8,478,8,4,2007
24.3,898,21,6,2007
24.1,744,12,3,2007
17.4,58,27,3,2007
16.9,277,12,2,2007
16.9,69,10,4,2007
17,328,19,5,2007
15.5,862,20,4,2007
19.8,961,21,3,2007
22.3,489,16,3,2007
23.1,212,5,1,2007
16.4,862,13,5,2007
16.2,321,30,6,2007
22.8,773,26,6,2007
19.5,633,5,2,2007
19,89,19,6,2007
20.8,903,21,4,2007
19.4,231,27,6,2007
19.1,225,16,1,2007
