"sst","anc","day","month","year"
22.9,591,18,1,2002
22.5,911,22,4,2002
21.6,509,7,3,2002
18.6,676,2,3,2002
22.3,954,11,5,2002
22.2,632,21,5,2002
20.4,754,20,1,2002
22.5,921,11,2,2002
24.2,549,4,3,2002
18.3,506,2,5,2002
19,268,21,4,2002
19.2,226,23,6,2002
19.6,958,18,5,2002
15.5,428,8,6,2002
15.9,376,3,3,2002
20.6,851,9,5,2002
17.6,926,13,3,2002
17.5,430,23,1,2002
16.4,452,16,3,2002
19.9,181,20,2,2002
17.8,816,22,5,2002
23,753,13,2,2002
20.3,807,27,1,2002
20.9,394,12,1,2002
22.1,390,22,3,2002
23.8,167,15,2,2002
22,143,15,1,2002
24.9,23,19,3,2002
24.1,257,7,4,2002
23.6,688,18,4,2002
16.4,624,17,5,2002
21.1,765,16,2,2002
20.8,704,29,4,2002
15.8,645,4,4,2002
20.7,652,26,2,2002
21.1,587,6,6,2002
21.2,810,7,1,2002
22.3,968,1,3,2002
24.5,837,27,4,2002
22.5,53,17,4,2002
19.7,92,14,3,2002
24.8,494,14,1,2002
20.4,986,24,3,2002
20.6,456,23,5,2002
15.5,838,5,6,2002
22.5,892,25,3,2002
20.5,824,3,5,2002
24.6,79,20,3,2002
23.1,702,22,1,2002
15.2,107,8,1,2002
17.1,104,5,1,2002
21.1,563,8,4,2002
15.4,214,24,6,2002
20.8,555,13,1,2002
18.8,261,4,5,2002
18.6,772,22,2,2002
15.8,379,25,5,2002
20.7,941,25,4,2002
23,142,23,2,2002
16.7,464,15,4,2002
15.9,498,20,4,2002
15.1,987,5,3,2002
22.6,105,29,6,2002
18.4,567,30,3,2002
24.2,354,6,5,2002
15.8,457,14,5,2002
16.4,803,29,3,2002
17,845,15,5,2002
24.9,35,3,4,2002
23.2,45,4,6,2002
15.2,165,5,5,2002
24.4,4,30,5,2002
16.9,602,9,1,2002
16.6,75,19,1,2002
20.3,892,29,1,2002
15.4,938,26,5,2002
15,369,18,2,2002
24.7,468,7,2,2002
23,720,18,3,2002
24.6,588,30,4,2002
24.3,395,27,6,2002
23.5,198,15,6,2002
24,519,30,1,2002
20.6,582,27,5,2002
19.1,747,28,4,2002
21.9,772,25,2,2002
22.4,646,25,6,2002
22.4,387,28,6,2002
17.3,985,9,6,2002
23.2,712,12,3,2002
20.4,506,2,6,2002
23.9,287,18,6,2002
20.1,872,5,2,2002
25,118,21,6,2002
20.9,461,10,4,2002
19.4,944,13,6,2002
15.6,18,6,2,2002
17.7,608,26,4,2002
16.3,773,20,6,2002
24.3,123,20,5,2002
