"sst","anc","day","month","year"
18,428,10,4,2008
16.7,790,5,4,2008
19,245,7,5,2008
19.3,565,13,4,2008
23.7,302,13,5,2008
18.6,828,7,6,2008
16,307,22,3,2008
23.9,385,4,6,2008
24.6,596,25,3,2008
21.4,875,23,1,2008
21.4,228,3,5,2008
21.1,158,2,3,2008
15.6,439,27,5,2008
15,513,15,4,2008
19.9,349,18,4,2008
16.7,228,19,3,2008
17.5,163,2,4,2008
16.7,597,15,6,2008
22.4,281,29,5,2008
18.5,267,1,3,2008
19,992,20,5,2008
21.6,513,23,2,2008
22.7,846,8,1,2008
20.9,931,24,3,2008
24.1,675,15,3,2008
19.9,214,22,2,2008
18.9,497,6,2,2008
19.7,668,26,5,2008
23.5,559,6,4,2008
15.9,691,31,1,2008
23.9,976,20,4,2008
23.9,105,22,4,2008
16.6,17,1,1,2008
24.8,585,6,6,2008
16.7,925,27,3,2008
17.5,537,7,2,2008
22,141,22,1,2008
24.6,690,18,5,2008
21.5,348,15,1,2008
21.3,270,2,5,2008
20.8,340,20,2,2008
17.5,359,3,1,2008
23.3,811,30,4,2008
22.4,57,31,3,2008
17,155,1,4,2008
20.6,985,28,6,2008
18.7,994,21,4,2008
24.5,776,21,1,2008
15.5,444,11,1,2008
22.6,408,9,3,2008
20,149,28,4,2008
18.2,286,18,6,2008
22.2,309,25,1,2008
18.8,738,6,1,2008
16.5,617,6,3,2008
17.5,479,25,4,2008
20.2,156,15,2,2008
17,185,1,5,2008
22.2,970,4,3,2008
23.1,329,20,3,2008
20.5,603,12,4,2008
17.5,103,21,5,2008
17.3,468,25,2,2008
15.8,709,28,2,2008
24.5,159,8,2,2008
23.9,568,18,1,2008
16.7,609,23,4,2008
24.5,841,13,6,2008
15.2,296,12,5,2008
16.8,253,2,6,2008
23.7,845,11,5,2008
16.4,322,26,3,2008
20.8,22,31,5,2008
25,321,3,2,2008
17.9,706,16,1,2008
21.6,726,29,6,2008
19.8,766,26,6,2008
21.3,482,10,3,2008
16.4,128,19,4,2008
18.4,276,4,1,2008
22.8,410,28,3,2008
22.4,809,14,6,2008
20.1,863,17,4,2008
22.5,908,17,2,2008
21.8,286,11,3,2008
22.3,941,17,5,2008
21.3,709,24,6,2008
20.1,451,11,4,2008
18.4,9,21,3,2008
17.3,795,23,6,2008
20,620,10,6,2008
21.6,398,19,6,2008
21.8,169,24,1,2008
20.8,601,12,3,2008
22.4,619,21,2,2008
20.1,438,30,1,2008
17.8,286,9,1,2008
19.6,342,8,3,2008
16.4,473,12,1,2008
23.8,635,16,4,2008
