"date","M"
2017-02-01,314
2017-02-01,296
2017-02-01,0
2017-02-01,78
2017-02-01,0
2017-02-02,313
2017-02-02,236
2017-02-02,147
2017-02-03,228
2017-02-03,255
2017-02-03,45
2017-02-03,245
2017-02-04,0
2017-02-04,0
2017-02-04,537
2017-02-04,0
2017-02-04,479
2017-02-04,152
2017-02-05,13
2017-02-05,0
2017-02-05,28
2017-02-05,10
2017-02-05,0
2017-02-05,294
2017-02-05,434
2017-02-06,300
2017-02-06,244
2017-02-07,0
2017-02-07,5
2017-02-07,176
2017-02-07,303
2017-02-07,195
2017-02-07,216
2017-02-07,0
2017-02-08,365
2017-02-08,0
2017-02-08,536
2017-02-08,213
2017-02-08,160
2017-02-08,0
2017-02-08,0
2017-02-09,0
2017-02-09,240
2017-02-09,27
2017-02-09,439
2017-02-09,62
2017-02-09,37
2017-02-10,298
2017-02-10,200
2017-02-10,198
2017-02-11,457
2017-02-11,341
2017-02-11,229
2017-02-11,162
2017-02-12,138
2017-02-12,57
2017-02-12,293
2017-02-12,0
2017-02-12,0
2017-02-13,329
2017-02-13,509
2017-02-13,540
2017-02-13,0
2017-02-14,113
2017-02-14,11
2017-02-14,711
2017-02-15,186
2017-02-15,0
2017-02-15,231
2017-02-15,1
2017-02-15,697
2017-02-15,42
2017-02-15,108
2017-02-16,100
2017-02-16,171
2017-02-16,190
2017-02-16,45
2017-02-17,689
2017-02-17,106
2017-02-17,0
2017-02-17,168
2017-02-17,0
2017-02-17,28
2017-02-18,387
2017-02-18,154
2017-02-19,286
2017-02-19,0
2017-02-19,254
2017-02-19,8
2017-02-19,218
2017-02-20,0
2017-02-20,197
2017-02-20,113
2017-02-20,338
2017-02-21,177
2017-02-21,685
2017-02-21,273
2017-02-21,29
2017-02-22,0
2017-02-22,51
2017-02-22,251
2017-02-22,353
2017-02-22,597
2017-02-22,0
2017-02-23,133
2017-02-23,4
2017-02-23,408
2017-02-23,85
2017-02-23,265
2017-02-23,602
2017-02-23,339
2017-02-23,0
2017-02-25,0
2017-02-25,198
2017-02-25,665
2017-02-25,93
2017-02-25,264
2017-02-26,201
2017-02-26,0
2017-02-26,0
2017-02-26,0
2017-02-26,509
2017-02-26,50
2017-02-26,0
2017-02-26,276
2017-02-26,0
2017-02-26,0
2017-02-26,0
2017-02-26,428
2017-02-26,351
2017-02-27,146
2017-02-27,0
2017-02-27,602
2017-02-27,86
2017-02-27,0
2017-02-28,22
2017-02-28,391
2017-02-28,142
2017-02-28,0
2017-02-28,267
2017-02-28,105
